Identifier,StructureData,,,,,
Entry ID,Crystallization Method,Temp (K),pH,Crystal Growth Procedure,Matthews Coefficient,Percent Solvent Content
4OGS,"VAPOR DIFFUSION, HANGING DROP",298,7.8,"Crystals were produced using 1 uL protein (26 mg/ml in 0.1 M imidazole, pH 7.8) mixed with 1 uL well solution, Crystallization screens varied from 22% to 32% (w:v) polyethylene glycol monomethyl ether (PEG) 2000 and 0.05M to 0.2M KBr at room temperature, for a range of pH values near neutrality, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.08,40.75
5B61,"VAPOR DIFFUSION, HANGING DROP",293,,"30% Polyethylene glycol 4000, 0.1M tris pH 8.5, 0.2M Lithium sulfate",2.4,48.78
2B3Q,"VAPOR DIFFUSION, HANGING DROP",298,7,"PEG 3000, Ca(OAc)2, pH 7, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.53,51.38
6LR7,"VAPOR DIFFUSION, HANGING DROP",293,8,"0.3M Sodium Chloride, 0.01M Tris 8.0, 27.5% w/v PEG",1.98,37.78
2H6V,,,5,"14% (w/v) PEG3350, 100 mM NH4 acetate pH 5.0, 0.2 M NH4F, pH 5.2, VAPOR DIFFUSION, HANGING DROP, temperature 100K",2.03,39.51
2O24,"VAPOR DIFFUSION, HANGING DROP",,5,"14% (W/V) PEG 3350, 100 MM NH4 ACETATE, 0.2 M NH4CL, PH 5.0, VAPOR DIFFUSION, HANGING DROP",2.03,39.51
2O29,"VAPOR DIFFUSION, HANGING DROP",,5,"14% (W/V) PEG 3350, 100 MM NH4 ACETATE, 0.2 M NH4Br, PH 5.0, VAPOR DIFFUSION, HANGING DROP, TEMPERATURE 100K",2.03,39.51
2O2B,"VAPOR DIFFUSION, HANGING DROP",,5,"14% (W/V) PEG 3350, 100 MM NH4 ACETATE, 0.2 M NH4I, PH 5.0, VAPOR DIFFUSION, HANGING DROP, TEMPERATURE 100K",2.03,39.51
2G6E,"VAPOR DIFFUSION, HANGING DROP",298,8,"50 mM MgCl2, 50 mM Hepes, 20% PEG 4000, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.13,42.37
2HGD,"VAPOR DIFFUSION, HANGING DROP",298,8,"19% PEG 4K, 50 mM MgCl2, 50 mM Hepes, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.13,42.35
2HGY,"VAPOR DIFFUSION, HANGING DROP",298,8,"19% PEG 4K, 50 mM MgCl2, 50 mM  Hepes, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.08,40.77
6JGI,VAPOR DIFFUSION,308,8.5,"PEG 4000, MgCl2, Tris-HCl buffer",2.12,42.05
4KF5,"VAPOR DIFFUSION, SITTING DROP",298,8.3,"Bis-Tris Buffer pH 8.3, 20% PEG 3350, and 6% glycerol, VAPOR DIFFUSION, SITTING DROP, temperature 298K",2.61,52.94
6JGH,VAPOR DIFFUSION,308,8.5,"PEG 4000, MgCl2, Tris-HCl buffer",2.09,41.02
6JGJ,VAPOR DIFFUSION,308,8.5,"PEG 4000, MgCl2, Tris-HCl buffer",2.11,41.73
1YHG,"VAPOR DIFFUSION, HANGING DROP",298,8,"PEG 4000, 50 mM MgCl2, 50 mM Hepes 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",1.83,32.8
1YHH,"VAPOR DIFFUSION, HANGING DROP",298,8,"PEG4000, 50 mM MgCl2, 50 mM Hepes , pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.1,41.56
1YHI,"VAPOR DIFFUSION, HANGING DROP",298,8,"PEG4000, 50 mM MgCl2, 50 mM Hepes, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.3,46.6
1GGX,,,8.5,pH 8.5,1.99,38.17
2HCG,"VAPOR DIFFUSION, HANGING DROP",298,8,"19% PEG 4K, 50 mM MgCl2, 50 mM Hepes, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.11,41.8
2HFC,"VAPOR DIFFUSION, HANGING DROP",298,8,"19% PEG 4K, 50 mM MgCl2, 50 mM Hepes, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.13,42.15
6H01,"VAPOR DIFFUSION, SITTING DROP",291,7.5,"1.1 M tri-Na-citrate
0.1 M Na-HEPES",4.11,70.1
6ZQO,"VAPOR DIFFUSION, HANGING DROP",293,,"5.7 mg/ml in 20mM Tris 8.0 200 mM NaCl mixed with a 1.44M (NH4)2SO4, 60mM Bicine pH 9.0 reservoir solution.",2.67,53.89
1YJ2,"VAPOR DIFFUSION, HANGING DROP",298,8,"PEG4000, 50 mM MgCl2, 50 mM Hepes, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.1,42
1CV7,"VAPOR DIFFUSION, HANGING DROP",298,4.6,"12% PEG-1550, 50mM calcium acetate and 100 mM acetaete buffer, pH 4.6, VAPOR DIFFUSION, HANGING DROP, temperature 298.0K",2.21,43.8
