,PDB_IDS
0,1a0m
1,1a0r
2,1a0s
3,1a0t
4,1a11
5,1a13
6,1a18
7,1a1p
8,1a25
9,1a2a
10,1a2d
11,1a3d
12,1a3f
13,1a4r
14,1a56
15,1a57
16,1a6s
17,1a7y
18,1a7z
19,1a8a
20,1a8b
21,1a8c
22,1a91
23,1a94
24,1a9v
25,1aa7
26,1aac
27,1aaj
28,1aan
29,1aaq
30,1ab0
31,1ab1
32,1acd
33,1acj
34,1acl
35,1adl
36,1ae7
37,1aei
38,1ael
39,1af6
40,1afo
41,1ag0
42,1ag7
43,1agg
44,1ah7
45,1ahk
46,1ahl
47,1ahm
48,1aho
49,1aig
50,1aii
51,1aij
52,1aj1
53,1aje
54,1ajw
55,1akg
56,1akk
57,1akn
58,1al4
59,1al7
60,1al8
61,1ala
62,1alb
63,1ale
64,1alf
65,1alx
66,1alz
67,1am4
68,1amb
69,1amc
70,1ame
71,1aml
72,1amn
73,1amt
74,1an0
75,1an9
76,1ann
77,1ans
78,1anw
79,1anx
80,1aod
81,1aok
82,1aow
83,1ap9
84,1apf
85,1aqb
86,1aql
87,1aqt
88,1ar1
89,1as5
90,1at9
91,1atx
92,1aty
93,1aua
94,1aun
95,1auo
96,1aur
97,1auv
98,1aux
99,1av2
100,1av3
101,1avc
102,1avh
103,1avr
104,1avv
105,1avz
106,1awe
107,1ax9
108,1axn
109,1ay2
110,1ay3
111,1ayj
112,1ayp
113,1azn
114,1azr
115,1azu
116,1b0o
117,1b10
118,1b12
119,1b1v
120,1b2v
121,1b3c
122,1b3d
123,1b3i
124,1b41
125,1b45
126,1b4m
127,1b4v
128,1b4w
129,1b55
130,1b56
131,1b5n
132,1b68
133,1b7d
134,1b7i
135,1b7k
136,1b8e
137,1b8s
138,1b8w
139,1b8y
140,1b9k
141,1b9u
142,1b9x
143,1b9y
144,1ba4
145,1ba6
146,1bah
147,1bak
148,1bba
149,1bbc
150,1bc0
151,1bc1
152,1bc3
153,1bcc
154,1bci
155,1bct
156,1bcw
157,1bcy
158,1bcz
159,1bde
160,1bdk
161,1bds
162,1be3
163,1beb
164,1bei
165,1bex
166,1bgk
167,1bgy
168,1bh0
169,1bh1
170,1bh3
171,1bh4
172,1bha
173,1bhb
174,1bhp
175,1biw
176,1bjb
177,1bjc
178,1bjj
179,1bk9
180,1bkd
181,1bku
182,1bl1
183,1bl8
184,1blr
185,1bm1
186,1bm5
187,1bm6
188,1bmf
189,1bmo
190,1bmr
191,1bnb
192,1bnx
193,1bp1
194,1bp2
195,1bpq
196,1bqf
197,1bqo
198,1brd
199,1brp
200,1brq
201,1brr
202,1brx
203,1brz
204,1bso
205,1bsq
206,1bsy
207,1bt9
208,1btk
209,1btn
210,1btq
211,1btr
212,1bts
213,1btt
214,1bu8
215,1bun
216,1bvm
217,1bwn
218,1bwx
219,1bwy
220,1bxa
221,1bxl
222,1bxu
223,1bxv
224,1bxw
225,1by3
226,1by5
227,1by6
228,1byn
229,1byv
230,1bz4
231,1bzb
232,1bzg
233,1bzk
234,1bzo
235,1c0v
236,1c17
237,1c1j
238,1c1z
239,1c2b
240,1c2o
241,1c2u
242,1c3i
243,1c3w
244,1c44
245,1c4d
246,1c4e
247,1c6s
248,1c74
249,1c89
250,1c8a
251,1c8r
252,1c8s
253,1c8t
254,1c8z
255,1c98
256,1c99
257,1c9a
258,1ca1
259,1caq
260,1cb9
261,1cbi
262,1cbn
263,1cbo
264,1cbq
